25178: YYu
595: JYYSVU
595: JYY9n
595: JYPWj
595: JVW3
595: JSetThreadUILanguage
595: JSUVW3
595: JSSP
595: JPVPQh
595: JGGf
595: HtxHHtdHtB
595: HHuh
595: FWFVj
595: FDPht
595: ETPS
595: EESU
595: E8PW
595: CShH
595: BtNf
595: AtTf
595: 9uFSh
595: 9u7WVh
595: 4GVU
595: 4FWV
564: _open64
482: cygwin_internal
476: _fstat64
467: dll_crt0__FP11per_process
467: __main
467: __getreent
466: strlen
453: _impure_ptr
451: fclose
421: strcmp
416: memcpy
410: fputs
405: strncmp
402: version
401: __errno
400: getenv
399: POSIXLY_CORRECT
393: vfprintf
386: help
383: memset
377: close
375: _ctype_
371: abort
361: __mb_cur_max
359: atexit
351: locale
348: literal
348: escape
345: libintl_textdomain
345: libintl_gettext
345: libintl_bindtextdomain
343: shell
343: mbsinit
343: mbrtowc
342: 9Wt_
341: strerror_r
341: clocale
340: uQ9E
338: _freopen64
337: putc_unlocked
337: coreutils
320: _fopen64
258: SVWU
250: 111111111
248: yyyyyyyyy
248: GGGGGGGGG
248: 888888888
246: qqqqqqqqq
246: jjjjjjjjj
244: _stat64
237: NNNNNNNNN
236: ccccccccc
234: gfff
227: UUUUUUUUU
213: write
206: _lstat64
204: isatty
200: read
198: strcpy
184: 3333
178: getpagesize
176: _fcntl64
176: EMII
167: SSSSS
165: fwrite
163: SetUnhandledExceptionFilter
163: GetCurrentProcessId
160: number
160: 0
157: benstuvAET
148: PQVW
144: AAAA
140: PVQV
138: DSUVW
132: _lchown32
132: _chown32
132: QueryPerformanceCounter
132: GetSystemTimeAsFileTime
131: UnhandledExceptionFilter
128: _fchown32
127: WVSP
125: yyyyyy
124: zzz888888888888888888888888888888888888
124: uuu111111111
124: GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG
124: GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG
124: 888888888888zzz
123: yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
123: yyyyyyyyyyyy
123: qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
123: qqqqqqqqqqqq
123: jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj
123: jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj
123: __assert
120: lstrlenA
117: RSDS
115: puts
114: wsprintfA
114: chdir
113: lstrcpyA
113: cccccccccccccccccccccccccccccccccccc
113: ccccccccccccccccccccccccccccccccc
113: UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
113: UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
113: NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN
113: NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN
112: _fdopen64
112: IJKLMNOPQR
111: memchr
109: unlink
107: return
105: hxUB
105: 0A
102: lstrcpynA
99: strcat
98: print
93: chmod
92: 33333
90: MessageBoxA
89: GetModuleFileNameA
85: file
83: verbose
83: WWWWW
82: DispatchMessageA
80: wwwwwwwwwwwwwww
80: YIII
80: MIII
80: CreateFileA
79: GetVersionExA
77: lstrcatA
77: GetCommandLineA
76: opendir
75: putc
75: PostMessageA
75: FindFirstFileA
74: RPVP
74: PQSVW
74: HSUVW
73: strtoul
73: next
73: else
73: 90t
72: _getpwuid32
71: readdir
71: closedir
70: getcwd
69: last
69: fputc
69: GetPrivateProfileStringA
68: umask
68: rmdir
68: link
68: _getgrnam32
68: _getgrgid32
68: GetWindowLongA
67: lstrcmpiA
67: SetWindowLongA
67: GetStartupInfoA
66: getline
66: fchdir
66: Phl
66: CharNextA
65: atoi
65: SVWP
64: signal
64: AMII
63: recursive
63: SVWUQ
62: GetFileAttributesA
61: utime
61: perror
61: kill
61: UUUU
61: CreateProcessA
60: strstr
60: YYt8
60: SetWindowTextA
60: 333333333333333333
59: text
58: VUUU
57: strndup
57: GetSystemDirectoryA
57: FindNextFileA
57: CreateWindowExA
55: strerror
55: dirfd
55: IsWindow
54: wwwp
54: reference
54: changes
54: GetWindowsDirectoryA
54: CreateThread
53: GetMessageA
53: DefWindowProcA
52: exec
52: VPWQ
52: LoadImageA
52: 5PYA
51: silent
51: quiet
51: getc
51: SendMessageA
50: rename
50: open
50: delete
50: YYt6
50: DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD
49: strtoumax
49: setmode
49: error
49: W4fJ
49: ShellExecuteA
49: G4fH
49: F4fH
48: wEMII
48: substr
48: PjZV
48: DeleteFileA
47: symlink
47: local
47: index
47: gmtime
47: SHGetPathFromIDListA
47: FormatMessageA
46: mode
46: length
46: fileno
46: dereference
46: _lseek64
46: QSUVW
46: GetPrivateProfileIntA
45: localtime
45: chown
45: BEGIN
44: vvvH
44: select
44: rewind
44: mmmH
44: kkkb
44: fchmod
44: eeeH
44: Unload
44: NEXT
44: Left
44: JMRS
44: Free
44: Cancel
44: Call
43: user
42: sort
42: path
42: _acl32
42: YYuU
42: YYtS9
42: YYt5W
42: SYSTEM
42: SVWhdS
42: RegCreateKeyExA
42: PVWhL
42: CreateDialogParamA
42: 333333
41: match
41: fork
41: SendMessageTimeoutA
41: QQSV3
41: GetCurrentDirectoryA
40: wait
40: seek
40: putchar_unlocked
40: format
40: continue
40: break
40: _t3Ht
40: YYt6h
40: VirtualProtect
40: PSUVW
40: JSVW
40: CoInitialize
40: 8ZDu
40: 4SUVW
39: system
39: split
39: http
39: function
39: directory
39: SVWQ
39: GetTempPathA
39: DialogBoxParamA
39: BBFF
38: while
38: v5SUW3
38: sqrt
38: remove
38: atan2
38: SUBSEP
38: OFMT
38: LoadStringA
37: strftime
37: sleep
37: goto
37: atof
37: access
37: LoadCursorA
37: EXIT
37: BLOCK
36: strcasecmp
36: stat
36: reset
36: join
36: gsub
36: _getuid32
36: _ftruncate64
36: STRING
36: SHGetSpecialFolderLocation
36: GetTokenInformation
36: FILENAME
36: AllocateAndInitializeSid
36: ARGV
36: ARGC
35: values
35: redo
35: keys
35: false
35: eval
35: MATCH
35: JUNK
35: GetDriveTypeA
35: DeleteCriticalSection
35: COMMENT
35: 031204000000Z
35: 0123456789ABCDEF
34: until
34: unshift
34: unless
34: true
34: times
34: tell
34: sub
34: study
34: show
34: shift
34: push
34: locatime
34: if
34: foreach
34: flags
34: elsif
34: each
34: crypt
34: chop
34: _getgid32
34: WHILE
34: VFLD
34: USERFUN
34: USERDEF
34: UPLUS
34: UMINUS
34: SUBTRACT
34: SUBSTR
34: STATES
34: STATE
34: STAR
34: SRAND
34: SQRT
34: SPRINTF
34: SPLIT
34: SNEWLINE
34: SEMICOLON
34: SCOMMENT
34: RegisterClassA
34: RPAREN
34: RETURN
34: RELOP
34: REGEX
34: REDIR
34: RANGE
34: RAND
34: PSSW
34: PROG
34: PRINTF
34: PRINT
34: PREINCR
34: PREDECR
34: PPAREN
34: POSTINCR
34: POSTDECR
34: POROR
34: PNOT
34: PAREN
34: PANDAND
34: NEWLINE
34: MULT
34: MPAREN
34: MATCHOP
34: LENGTH
34: INDEX
34: HUNKS
34: HUNK
34: GSUB
34: GETLINE
34: FORIN
34: DELETE
34: DEFINED
34: CallWindowProcA
34: CPAREN
34: COROR
34: CONTINUE
34: COND
34: CONCAT
34: COMMA
34: CNOT
34: CLOSE
34: CANDAND
34: BREAK
34: ATAN2
34: ASSIGN
34: 999999
33: wctype
33: upper
33: ungetc
33: lstrcmpA
33: lower
33: btowc
33: SupportsUAC
33: RunElevated
33: IsAdmin
33: GetElevationType
33: GetCurrentThread
33: 54kB
32: wwwwx
32: wwwwww
32: tGh0
32: sync
32: never
32: h9rH
32: _geteuid32
32: _getegid32
32: _EMII
32: YMII
32: XEMII
32: WritePrivateProfileStringA
32: Vt9f
32: SSjtW
32: SSjZW
32: SSjVW
32: RemoveDirectoryA
32: RPQP
32: PhxZ
32: PeekMessageA
32: PSh8
32: PSh
32: PSWV
32: OpenProcess
32: LSUVW
32: IIII
32: BBNu
32: 8SUVW
