10004: Width
70: CoFreeUnusedLibraries
70: CheckTokenMembership
70: CertCloseStore
70: CUserException
70: CResourceException
70: CObject
70: CNotSupportedException
70: CMenu
70: CMemoryException
70: CMapPtrToPtr
70: CGdiObject
70: 47887
70: 0Gd0o
70: 061110000000Z
69: width
69: _aanimobprise
69: Wow64RevertWow64FsRedirection
69: Wow64DisableWow64FsRedirection
69: Wj0XPV
69: TOwnerDrawState
69: SetDllDirectoryW
69: SetCursorPos
69: SendDlgItemMessageW
69: GetFileVersionInfoSizeA
69: FindWindowExW
69: DrawEdge
69: DragObject
69: CodePage
69: CException
69: CCmdTarget
69: Button2Click
69: AThread
69: AComponent
68: poMainFormCenter
68: element
68: _aentityendmult
68: WritePrivateProfileStringA
68: WinHelpW
68: SetDlgItemTextW
68: SMDBGrid
68: NewWidth
68: NewHeight
68: MoveFileA
68: ModifyMenuW
68: LoadMenuW
68: LC_ALL
68: GetObjectA
68: FOwner
68: FImageIndex
68: DialogBoxParamA
68: CreateDIBitmap
68: Context
68: Column1
68: CInvalidArgException
68: CByteArray
68: CArchiveException
67: i0g0e
67: _frnd
67: __bbStrToCStr
67: TRadioButton
67: SetSize
67: QQQQQ
67: PathFindExtensionW
67: PPjAh
67: Label12
67: IsClipboardFormatAvailable
67: IsBadWritePtr
67: GetPrivateProfileIntW
67: FormCloseQuery
67: Form2
67: FName
67: FControl
67: EqualSid
67: EInvalidPointer
67: Dialogs
67: CharCount
67: COleException
67: 90705
67: 222222222
66: holland
66: __vectorcall
66: Window
66: VerdanaC
66: VVVVVj
66: TMouseButton
66: ResType
66: RegDeleteValueA
66: RegDeleteKeyA
66: OuterNotebook
66: InnerPage
66: InnerNotebook
66: HelpFile
66: GetUserObjectInformationW
66: GetTextColor
66: GetShortPathNameA
66: Filename
66: FStyle
66: DeactivateActCtx
66: CreateDIBSection
66: CreateActCtxW
66: ContentRect
66: ActivateActCtx
66: 9IYiy
66: 200207235959Z0
66: 00000
65: wwwwwwwp
65: v0t08
65: swiss
65: option
65: YYt4V
65: TApplication
65: Register
65: QQQQQQQQSV
65: Label21
65: Label15
65: ImeMode
65: ImageList_AddMasked
65: GetDateFormatW
65: DisplayLabel
65: Cardinal
65: AutoSelect
65: AGestureID
65: 333333hih
65: 241022000000Z0G1
65: 211110000000Z0b1
65: 141022000000Z
65: 0v0b1
64: slovak
64: norwegian
64: gyvezet
64: england
64: czech
64: ciEditWithList1
64: ciEdit4
64: ciCheckTextGroup3
64: china
64: canadian
64: bsRightLine
64: britain
64: belgian
64: australian
64: american
64: america
64: alTop
64: _fshow
64: _frotateentity
64: TabbedTextOutW
64: SystemTimeToTzSpecificLocalTime
64: StringFromGUID2
64: StatusLabel
64: RoundRect
64: ProgressBar
64: InitializeSListHead
64: HSVWh
64: H0F0D
64: GrayStringW
64: FindWindowA
64: FEnabled
64: FClient
64: EnumResourceLanguagesW
64: Empty
64: DDDDDDDDDDDDDD
64: BoundingRect
64: BevelKind
64: BevelEdges
64: 333333333333
63: cmdDelete
63: ciLabel10
63: _fmoveentity
63: _alistbox
63: Variants
63: SetPixel
63: SetFileSecurityW
63: RegEnumValueA
63: PRPQh
63: GetVolumeInformationW
63: GetMenuItemInfoW
63: FrameRect
63: ExtSelectClipRgn
63: Exception
63: EnumSystemLocalesA
63: Ellipse
63: DrawElement
63: CoGetClassObject
63: CharPrevA
63: CertFindCertificateInStore
62: xxxxxx
62: wsMaximized
62: _fsqr
62: _fentityx
62: VariantChangeTypeEx
62: VC20XC00U
62: TPopupMenu
62: STATIC
62: R1h58
62: QQQQQQS
62: PSSSSSSh
62: MaxWidth
62: IsDialogMessageA
62: InsertMenuItemW
62: GetMapMode
62: EnumDisplayDevicesW
62: DisplayFormat
62: CreateFontW
62: CompareStringEx
62: C1A5G
62: BeveledLabel
62: AnimateWindow
61: wwwwx
61: wwwwwwwwwwww
61: laszt
61: iostream
61: gvezet
61: dgTitles
61: dgRowLines
61: dgConfirmDelete
61: dgColumnResize
61: dgColLines
61: dgCancelOnExit
61: ciNumEdit1
61: _fclosefile
61: __bbStrRelease
61: YYYYY
61: WindowState
61: UUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU
61: UUUUUUUUUUUUUUUUUUUU
61: TsSpeedButton
61: SHGetPathFromIDListA
61: OpenSCManagerW
61: MoveToEx
61: Label16
61: Label14
61: InvalidateRgn
61: HashCode
61: GlobalSign1
61: GlobalSign0
61: FWidth
61: CreatePatternBrush
61: CertFreeCertificateChain
61: CPtrArray
61: AreFileApisANSI
60: tRHtC
60: szetesSzem
60: ssVertical
60: nnnnnn
60: fsUnderline
60: curField
60: bsSingle
60: _asound
60: Writer
60: VariantClear
60: TNewNotebook
60: TDBGrid1
60: TBitmap
60: SetNamedSecurityInfoW
60: QQQQj
60: Polyline
60: PathIsUNCW
60: MinWidth
60: LayoutName
60: InsertMenuW
60: Heading
60: GetTickCount64
60: E0C0A
60: DropDownCount
60: DrawIconEx
60: DisabledGlyphKind
60: CreateHandle
60: Callback
60: CWinThread
60: CWinApp
60: CObArray
60: Alrovat
59: gmutat
59: ciSZM_Address_field1
59: _fentityz
59: _fentityblend
59: _aanimprisetic
59: UnionRect
59: SetStretchBltMode
59: SetDlgItemTextA
59: ScrollTrack
59: ScrollTips
59: SSSSh
59: RowSubDividerColor
59: RowDividerColor
59: Params
59: PageNameLabel
59: PageDescriptionLabel
59: PPPPh
59: OwnerDraw
59: OpenServiceW
59: OnCloseQuery
59: LayoutURL
59: LayoutFileName
59: Label11
59: ImageList2
59: GetViewportExtEx
59: FormStyle
59: FootLines
59: FetchRowStyle
59: EmptyRows
59: EFileError
59: ECompressInternalError
59: ECompressDataError
59: DefaultRowHeight
59: DeadAreaBackColor
59: ColumnFooters
59: Column
59: CoRevokeClassObject
59: ClassName
59: CertGetNameStringW
59: CFileException
59: CFile
59: AutoLineReduction
59: AlternatingRowStyle
59: 33333333333
59: 120418120000Z
58: t0r07
58: status_vector
58: state
58: jThxKK
58: hih333333
58: dgIndicator
58: Unregister
58: TranslateAcceleratorW
58: TCustomFile
58: TCompressedBlockReader
58: SysInit
58: SetWindowOrgEx
58: SetLayout
58: SHAutoComplete
58: ReleaseActCtx
58: QueryServiceStatus
58: QQVWj
58: PathStripToRootW
58: PQQQQQ
58: LoadAcceleratorsW
58: Length
58: InitializeAcl
58: ImeName
58: HintStr
58: HandleAllocated
58: HANDLE
58: GroupIndex
58: GetWindowExtEx
58: GetMenuStringW
58: GdipFree
58: FLock
58: ECompressError
58: D0B07
58: CryptGenRandom
58: CPaintDC
58: AlrovatClass
58: 270418120000Z0l1
57: u6SSj
57: lblName
57: gii333333
57: class
57: _fgraphicswidth
57: _fentitytexture
57: _exit
57: _aspriteprize
57: __set_app_type
57: WWWPWS
57: TryGetValue
57: TFile
57: TDragObject
57: SetProcessDEPPolicy
57: SaveToClipboardFormat
57: OEMConvert
57: LoadFromClipboardFormat
57: Label20
57: Label19
57: ImgList
57: ImageList_GetImageInfo
57: HelpFileName
57: HeapSetInformation
57: GetMessageA
57: FPosition
57: FImages
57: FData
57: EAssertionFailed
57: DosDateTimeToFileTime
57: DeferWindowPos
57: Data1
57: Client
57: CWindowDC
57: CPtrList
57: CDialog
57: CClientDC
57: AllowChange
56: interrupted
56: iiiiOOOO
56: ciLabel12
56: ciCheckBox3
56: bytes
56: __p__fmode
56: WizardSmallBitmapImage
56: VerdanaF
56: TCustomDecompressor
56: StgCreateDocfileOnILockBytes
56: SaveDialog1
56: SSVWh
56: RegisterClassExW
56: RegQueryValueW
56: QueryPerformanceFrequency
56: PartialRightColumn
56: Parent
56: PPPPPWS
56: Margin
56: IsDBCSLeadByte
56: IsBadReadPtr
56: Graphic
56: FUpdateCount
56: EndDeferWindowPos
56: EExternal
56: EAbstractError
56: DllGetClassObject
56: DeregisterEventSource
56: CreateILockBytesOnHGlobal
56: ContainsKey
56: CFont
56: CCGGf
56: ByteCount
56: BeginDeferWindowPos
56: AnchorRightColumn
56: AllowColSelect
56: AllowColMove
56: AboutDialog
56: AIH333
56: 33333333
55: wwwwwwwwwp
55: obwQ4
55: lymutat
55: jgYjG
55: clGray
55: _initterm
55: TciEditWithList
55: SubCaptionLabel
55: SetupDiDestroyDeviceInfoList
55: SetSearchPathMode
55: SPEEDBUTTON_SMALL
55: SHGetDesktopFolder
55: Replace
55: PathEdit
55: OnMouseWheelDown
55: Invalidate
55: HighlightRow
55: GetNextDlgGroupItem
55: GetLongPathNameW
55: GetLocaleInfoEx
55: GetIconInfo
55: EvenRow
55: ErrorCode
55: ESafecallException
55: AutoScroll
55: Allow
54: wwwwwwwx
54: t0WWWWW
54: jAZjX
54: ciEdit5
54: _fmillisecs
54: _WasPersistedAsPixels
54: _StyleDefs
54: YYuTVWh
54: WantTabs
54: Wallet
54: WVWWW
54: Variant
54: UseDockManager
54: UStyle
54: TransparentRowPictures
54: TransactionDescDialog
54: TTimer
54: TStrings
54: StgOpenStorageOnILockBytes
54: SpringMode
54: SetWindowRgn
54: SetClassLongW
54: Retry
54: RecordSelectorWidth
54: RecordSelector
54: Orientation
54: OnPaint
54: OleIsCurrentClipboard
54: OleFlushClipboard
54: OddRow
54: OLEDropMode
54: OLEDragMode
54: MultipleLines
54: Mined
54: Label26
54: Label18
54: InsertMode
54: HttpQueryInfoW
54: HtpHHt
54: GetSystemPaletteEntries
54: GetDlgItemTextA
54: Footing
54: FooterColor
54: FindFirstFileExW
54: ExtendRightColumn
54: ExposeCellMode
54: EditDropDown
54: DrawState
54: DividerStyle
54: DividerColor
54: DirectionAfterEnter
54: CreateMutexA
54: Confirmed
54: Collate
54: CellTipsWidth
54: CellTipsDelay
54: CellTips
54: COleDispatchException
54: AnimateWindowTime
54: AllowRowSelect
54: AABBf
54: 3rT34
53: wwwwpwwwww
53: tLVWP
53: mUpdate
53: lblLit
53: dgTabs
53: ciCheckText3
53: _adopbox
53: YQPVh
53: VertScrollBar
53: SetEnvironmentVariableW
53: SHGetFolderPathA
53: SHBrowseForFolderA
53: Required
53: RegistryKey
53: QQSUV
53: QQQQQQQS
53: PageHeader
53: PageFooter
53: PWVWWW
53: PPPPPP
53: OpenThreadToken
53: OnDockOver
53: OnDockDrop
53: OnActivate
53: HtmlHelpW
53: GetUserDefaultLocaleName
53: GetLogicalProcessorInformation
53: GetFileTitleW
53: GetClassInfoA
53: FTitle
53: FActive
53: EIntfCastError
53: DragFinish
53: DDDDDDDDD
53: ContainsValue
53: 333333gii
52: tVHtG
52: const
52: ciSZM_nev_cim1
52: ciCheckText4
52: Z0X0V
52: Username
52: UnpackDDElParam
52: SetRectRgn
52: SearchPathW
52: ReleaseStgMedium
52: RegCreateKeyW
52: RadioButtonGroup
52: OnMouseWheelUp
52: OnMouseWheel
52: OnDrawItem
52: MaxValue
52: LoadImageA
52: IsValidLocaleName
52: HKEY_LOCAL_MACHINE
52: GetLayout
52: FGrowThreshold
52: DragQueryFileW
52: Dispatch
52: DDDDDDDDDDD
52: CreateSymbolicLinkW
52: CoRegisterMessageFilter
52: CertGetCertificateChain
52: COleDialog
52: COleBusyDialog
52: AppendMenuW
51: wwwwwz
51: slice
51: memset
51: label
51: jdhpRJ
51: ciMemo2
51: berpr
51: _StateFlags
51: VariableRowHeight
51: SetWindowPlacement
51: SetThreadpoolWait
51: SetScrollInfo
51: SVWUP
51: SSSSWj
51: ResName
51: RepeatSplitHeaders
51: RepeatGridHeader
51: RepeatColumnHeaders
51: RepeatColumnFooters
51: QSUVW3
51: QQSUVW
51: PrintInfos
51: PreviewPageOf
51: PreviewMaximize
51: PreviewInitZoom
51: PreviewInitWidth
51: PreviewInitScreenFill
51: PreviewInitPosY
51: PreviewInitPosX
51: PreviewInitHeight
51: PreviewCaption
51: PreviewAllowFileOps
51: PictureStandardRow
51: PictureModifiedRow
51: PictureHeaderRow
51: PictureFooterRow
51: PictureFilterBar
51: PictureCurrentRow
51: PictureAddnewRow
51: PageHeaderOwnerDraw
51: PageHeaderHeight
51: PageHeaderFont
51: PageFooterOwnerDraw
51: PageFooterHeight
51: PageFooterFont
51: PSSSS
51: OnDragOverd
51: NumberOfCopies
51: NoClipping
51: NewInstance
51: NeedTotalPageCount
51: MoveFileExA
51: MousePointer
51: MouseIcon
51: MaxRows
51: LoadBitmapA
51: InternetCrackUrlW
51: I0G0E
51: HKEY_USERS
51: FilterText
51: FilenameLabel
51: FValueCollection
51: FSize
51: FOnValueNotify
51: FOnKeyNotify
51: FKeyCollection
51: FICHA
51: FAlignment
51: ExtractPair
51: Equals
51: EnumSystemLocalesEx
51: Draft
51: DateFormat
51: CryptCreateHash
51: CreateThreadpoolWait
51: CopyAcceleratorTableW
51: ConvertDefaultLocale
51: CloseThreadpoolWait
51: CertOpenStore
51: CMapStringToPtr
51: Bytes
51: BufSize
51: AnimateWindowDirection
51: AnimateWindowClose
51: AddOrSetValue
51: ActiveControl
51: ALeft
51: 333338
51: 22222222222
50: short
50: kkkkk
50: exp10
50: clBlue
50: _fflushkeys
50: _fangley
50: _abutfx
50: WtrHHt
50: WaitMessage
50: WaitForThreadpoolTimerCallbacks
50: VwltB
50: TextRect
50: TRichEditViewer
50: TPersistent
50: SysReAllocStringLen
50: Setup
50: SetWindowContextHelpId
50: SetThreadpoolTimer
50: SetConsoleCtrlHandler
50: SendMessageTimeoutW
50: RemoveMenu
50: Release
50: RegisterDragDrop
50: Padding
50: PPPPj
50: OnMeasureItem
50: Numbered
50: HasData
50: HKEY_CLASSES_ROOT
50: GetCurrentProcessorNumber
50: GR32_Resamplers
50: FreeLibraryWhenCallbackReturns
50: ForeColor
50: FlushProcessWriteBuffers
50: FHelpContext
50: FHeight
50: CursorType
50: CryptMsgClose
50: CryptHashData
50: CryptDestroyHash
50: CreateThreadpoolTimer
50: CreateSemaphoreExW
50: Column2
50: CloseThreadpoolTimer
50: CToolTipCtrl
50: CStatic
50: CButton
50: CBitmap
50: Button3
50: 5RwID
49: timeGetTime
49: tRHtA
49: t3Ht9
49: imgLayout
49: ctStatic
49: _fdrawimage
49: _XcptFilter
49: YYjgXf9
49: Wj0XP
49: VerSetConditionMask
49: TerminateThread
49: TNewEdit
49: Stretch
49: Sorted
49: SetupDiGetClassDevsW
49: RevokeDragDrop
49: Resize
49: Query1
49: PathIsDirectoryW
49: PasswordChar
49: PSSSSSS
49: PSSSSS
49: OnValueNotify
49: OleUIBusyW
49: LockWindowUpdate
49: L0LPL
49: GlobalGetAtomNameW
49: GetChildren
49: FALSE
49: DrawFrameControl
49: DoDragDrop
49: DBAccess
49: CreateDialogParamA
49: ControlService
49: ComponentClass
49: CheckRadioButton
49: Center
49: CImageList
49: CBrush
49: BBBBBB
49: AlignWithMargins
49: AfterScroll
48: t4SWV
48: eoTitleWordWrap
48: eoStandardPopup
48: eoKeepSelection
48: eoENTERlikeTAB
48: eoBLOBEditor
48: double
48: _vcontrolposcam
48: _fsetanimtime
48: _aentitygamma
48: YZXtp
48: WidthOfIndicator
48: Unlock
48: UYeUVe
48: TMemo
48: TCloseAction
48: SMDBGrid1TitleClick
48: ReportEventW
48: RegisterEventSourceW
48: QQQQQQQSV
48: Pointer
48: PasswordEdit
48: ParseInput
48: Panel7
48: OnTimer
48: NoRemove
48: MinHeight
48: MethodAddress
48: IsObjectDefined
48: GetName
48: GetLengthSid
48: GetFileSecurityW
48: GetDIBits
48: FreeInstance
48: Form27E
48: Form26
48: ForceRemove
48: FieldAddress
48: FImageChangeLink
48: ExpTotalsDS
48: EtSVW
48: EnumChildWindows
48: ElementSize
48: DrawMenuBar
48: CertEnumCertificatesInStore
48: CcjRK
48: CSyncObject
48: CStringArray
48: CSText1
48: CEdit
48: AText
48: AStyleLink
48: 3pT34
48: 33833
48: 334C33333338
48: 33338
48: 1354212174
47: ztart
47: wIPS3
47: _vticprofplayer
47: _floadmesh
47: __setusermatherr
47: YYtNj
47: WWWWj
47: VWATAUAVH
47: VVUVS
47: ReuseDDElParam
47: RegistrySection
47: Query3
47: PQUVW
47: OnDragDrop4
47: MaxHeight
47: HideSelection
47: Groupings
47: GetSystemDefaultLangID
47: GetStringTypeExW
47: Form27
47: Form24
47: FlPj9
47: Ficha
47: FhPj8
47: FdPjO
47: FXPjL
47: FVisible
47: FTPjK
47: FPPjJ
47: FLPjI
47: FHPjH
47: FDPjG
47: FCaption
47: FBitmap
47: F8PjD
47: Extension
47: EnumSystemLocalesW
47: DebugBreak
47: CoLockObjectExternal
47: CListCtrl
47: APort
46: tq9xPu
46: tW9qttR
46: t0jXXf
46: grdData
46: cmdPrint
46: _cexit
46: __p__commode
46: YZXtm1
46: WideString
46: WWWWhd
46: WWWVj
46: VVVVQVVVj
46: Transaction
46: SVtAj
46: SVWf9
46: SMDBGrid1DblClick
46: RegOpenKeyA
46: QRWPV
46: QQVW3
46: QQQQQQSVW3
46: QQQQ3
46: Ownerships
46: OpenThemeData
46: OnCheckChanged
46: OleGetClipboard
46: LookupAccountNameW
46: IsAppThemed
46: GetSystemDefaultLCID
46: GetMaxCharCount
46: GetMaxByteCount
46: GetDlgItemTextW
46: ENoMonitorSupportException
46: DrawThemeBackground
46: Disabled
46: ConvertSidToStringSidW
46: ClVPV
46: CharUpperBuffW
46: CToolBar
46: CStringList
46: CFrameWnd
46: CFileDialog
46: CDocument
46: CControlBar
46: C0PPQ
46: Bevel2
46: AByteEncoding
46: 9XPth
46: 333333333
45: sZ9fB
45: datRef
45: ciEdit7
45: _fanimtime
45: TabIndex
45: TListBox
45: TErrorRec
45: TCustomListView
45: SetupDiEnumDeviceInterfaces
45: SetROP2
45: SetBounds
45: ScrollWindow
45: PeekNamedPipe
45: OnGetSiteInfo
45: OleDuplicateData
45: InternetConnectW
45: ImageList_SetOverlayImage
45: HttpSendRequestW
45: HttpOpenRequestW
45: HelpKeyword
45: HKEY_CURRENT_CONFIG
45: GetFileInformationByHandle
45: FColor
45: FBrush
45: EnumThreadWindows
45: EHeapException
45: DirEdit
45: DDDDDDDD
45: DDDDDDD
45: CloseThemeData
45: CView
45: CSplitterWnd
45: CReBar
45: CFileFind
45: CDockBar
45: 0UUUUW
44: vertAlignenum
44: urlTEXT
44: topOutsetlong
44: tNVSP
44: slicesVlLs
44: sliceIDlong
44: rightOutsetlong
44: originenum
44: nullTEXT
44: leftOutsetlong
44: j0ht_E
44: horzAlignenum
44: groupIDlong
44: gFeloszt
44: g99KrJJ
44: float
44: error
44: cellTextTEXT
44: cellTextIsHTMLbool
44: bottomOutsetlong
44: bgColorTypeenum
44: autoGenerated
44: altTagTEXT
44: aa_j55
44: a5_j5W
44: _asoundp
44: VVVVVQRSSj
44: UuidCreate
44: UserInfoSerialEdit
44: UserInfoOrgEdit
44: UserInfoNameEdit
44: UserInfoEditChange
44: UseRichEdit
44: Unregserver
44: Typeenum
44: TransparentColor
44: TWriter
44: TForm
44: TExceptRec
44: TControlScrollBar
44: TColor
44: Subtract
44: Reset
44: ReplaceFileW
44: Regserver
44: RegEnumKeyExA
44: PathRemoveExtensionW
44: ParentWnd
44: PVVVV
44: OnPopup
44: MsgeTEXT
44: MMUf33
44: M3Uf3
44: Locale
44: LicensePage
44: Label24
44: HasParent
44: GetScrollInfo
44: GetComputerNameW
44: GetClipboardData
44: FlushInstructionCache
44: FLeft
44: FBorderStyle
44: Embedding
44: ESliceVertAlign
44: ESliceType
44: ESliceOrigin
44: ESliceHorzAlign
44: ESliceBGColorType
44: CreateMenu
44: Cn77Y
44: Click
44: ClassType
44: Cf93u
44: CM_Get_Parent
44: Brush
44: Automation
44: AutoHotkeys
44: ADOQuery1
44: 9Kr9J
44: 7Yn7m
44: 77Ynmm
44: 59pPu
44: 55_jWW
43: txtOrgName
43: rWWWW
43: qrsRectangle
43: lblDay
43: dtaLeft
43: dmComboBox
43: dfShort
43: cmbField
43: clSilver
43: _abox_head
43: YSSSSS
43: WriteVar
43: WaitFor
43: VerifyVersionInfoW
43: VariantCopyInd
43: TagoltC
43: TStringList
43: TScrollingWinControl
43: TGraphicsObject
43: TDBEdit
43: TCustomControl
43: SearchPathA
43: SVWRP
43: RegEnumKeyA
43: ReadVar
43: QVVVj
43: OnUnDock
43: OnExecute
43: NumGlyphs
43: Label27
43: Label17
43: HorzScrollBar
43: GetTextExtentPoint32A
43: GetProfileIntW
43: GetFileAttributesExW
43: FHint
43: ExtractIconW
43: Class
43: CalAlignment
43: CSharedFile
43: CScrollView
43: COleStreamFile
43: CM_Get_DevNode_Status
43: CDocTemplate
43: Button4
43: BeginUpdate
43: BOOLEAN
43: AOwnsObjects
42: w333333
42: tttttt
42: ssBoth
42: raB3G
42: pngimage
42: pNlZr
42: ltozott
42: lblLetrero
42: awKiZ
42: alRight
42: TMainMenu
42: TFont
42: TDateTimePicker
42: ShowScrollBar
42: Q3EbS
42: Panel3
42: OnMouseMoved
42: OnDeactivate
42: OleRun
42: LblBHR
42: Label23
42: KeyPreview
42: KWindows
42: InternetSetOptionW
42: InternetErrorDlg
42: HhXpE
42: GetCharWidthW
42: GetAsyncKeyState
42: Fonts
42: FText
42: FState
42: DateMode
42: DBGridEh
42: CreateSemaphoreW
42: CreateEventExW
42: Copyright
42: CopyMetaFileW
42: 3Messages
42: 222222222222
41: struct
41: llalkoz
41: length
41: lSVWj
41: jphd_E
41: fpVariable
41: fffffff
41: command
41: ciCheckBox8CheckChanged
41: btnAdd
41: aCapacity
41: _controlfp
41: _TrackMouseEvent
41: YYuMV
41: YYYYYYYYYYY
41: WWVPWWWW
41: VSWPj
41: UnrealizeObject
41: UTypes
41: U4SSSPQR
41: TModuleInfo
41: TGraphic
41: TCustomLabel
41: TButtonControl
41: TBitmapCanvas
41: Success
41: Sorsz
41: SUVWATAUAVAWH
41: SSSSSS
41: ReleaseSRWLockExclusive
41: Polygon
41: Phl35
41: MFCM80ReleaseManagedReferences
41: M8QPu
41: LeftBorder
41: ItemClass
41: HtvHt
41: HtjHt4H
41: GetPreamble
41: GetNamedSecurityInfoW
41: GetKeyboardType
41: GetDateFormatEx
41: EnumProcesses
41: EndUpdate
41: EMonitor
41: Destination
41: Data2
41: DDDDD
41: CryptGetHashParam
41: Compress
41: CoInitializeSecurity
41: CharPrevW
41: CVE_DEPTO
41: CRAccess
41: Ancestor
41: AcquireSRWLockExclusive
41: ATypeInfo
41: ADVAPI32
40: xUUUUUU
40: txtYear
40: install
40: fffffox
40: ffffffffffff
40: ciLabel13
40: ciInfo1
40: _onexit
40: _apod_regmenu
40: _amnmenuback
40: __getmainargs
40: UpdateAction
40: TciRadioButton
40: TScreen
40: TLZMA1SmallDecompressorS
40: TIcon
40: THintWindow
40: TDBNavigator
40: TCustomDrawState
40: TBasicAction
40: SysConst
40: Shape45
40: SetupDiGetDeviceInterfaceDetailW
40: Server
40: SHLWAPI
40: SHFOLDER
40: RichEdit
40: QRPh4
40: Printers
40: Pj1Q3
40: Ph0UK
40: PDEST
40: NumberingBorder
40: MaxLabelWidth
40: Label25
40: Header
40: GetWindowOrgEx
40: GetTimeFormatEx
40: GetTextMetricsA
40: GetScrollRange
40: FImage
40: FIcon
40: EMonitorLockException
40: DisplayName
40: DBType
40: Comment
40: ChunkName
40: CMainFrame
40: CM_Get_Device_IDW
40: 8HXhx
40: 3333333333
40: 0g0Y0
40: 0SUVW
40: 0L0zv
39: uFWWj
39: uCPVj
39: tVSVWU
39: rDlPtS
39: message
39: malloc
39: gvisel
39: dtkDate
39: alLeft
39: adapter
39: _freadline
39: _aanimalticck
39: ZTUWVSPRTj
39: XPTPSW
39: WARNING
39: Visibled
39: UnicodeString
39: TranslateMDISysAccel
39: TPropFixup
39: TMenu
39: Struct
39: SetWindowTheme
39: ResID
39: RSSSSS
39: OnEndDragd
39: OnCanResize
39: Network
39: LPjQW
39: Interface
39: InstanceSize
39: InitInstance
39: InheritsFrom
39: HelpType
39: HPjPW
39: GetProcessId
39: GetPaletteEntries
39: GetNumberFormatW
39: FormDestroy
39: FindNextChangeNotification
39: FindFirstChangeNotificationW
39: FindCloseChangeNotification
39: FHelpFile
39: EStringListError
39: EReadError
39: DefaultValueHandling
39: DSVWj
39: DELETE
39: CleanupInstance
39: ClassParent
39: ClassNameIs
39: ClassInfo
39: Chars
39: Cerrar
39: CanShow
39: CLSID
39: CDocManager
39: CCtrlView
39: Arizona1
39: ASCII
38: tQSh4
38: tMWWS
38: status
38: ppxxxx
38: pSVWj
38: nzbeliHozz
38: lblLabels
38: jlhd_E
38: jTSSSSS
38: fsStayOnTop
38: cmdSearch
38: cmdClear
38: ciEdit6
38: ciDate1
38: _fentityalpha
38: _amaxboxinlivel
38: _abox_tipebox
38: ZTUWVSPR
38: YStrUtils
38: Utility
38: Total
38: TciSZM_Address_field
38: TToolBar
38: TDateTimeField
38: TCustomPanel
38: TControlCanvas
38: StatusBar
38: StaticText3
38: SetThreadLocale
38: SetNamedPipeHandleState
38: SVWU3
38: SHDeleteKeyW
38: RegSetValueW
38: RQQQQQ
38: Other
38: OpenIcon
38: OnAlignPosition
38: MainPanel
38: Label38
38: IsThemeActive
38: Install
38: InitializeSRWLock
38: IdExceptionCore
38: GetPropA
38: GetElementSize
38: GetByteCount
38: GetBitmapBits
38: GdiplusStartup
38: Frame3
38: CreatePen
38: Column3
38: Chord
38: CertGetIntendedKeyUsage
38: CENTRO
38: CDialogBar
38: Bounds
38: AHelpContext
38: AButton
37: update
37: silent
37: remove
37: paLeft
37: lblVeth
37: jWWWWWW
37: j6j6S
37: height
37: datName
37: ciLabel14
37: beliKorl
37: action
37: _ffiletype
37: _aanimale_y
37: _aanimale_x
37: YYYYYYYY
37: WTHelperProvDataFromStateData
37: VVVjH
37: UUUUUUUUUUUUUUUUUUUUUUUU
37: TGraphicControl
37: TEncoding
37: TCustomEdit
37: SignalObjectAndWait
37: Shell_NotifyIconW
37: SetScrollRange
37: SetPropA
37: SafeArrayCreate
37: SYSTEM
37: SHFileOperationA
37: ResourceType
37: ReleaseHandle
37: RegQueryInfoKeyA
37: ReadConsoleW
37: RPhl35
37: Print
37: OnConstrainedResize
37: OnClickd
37: OnChanging
37: M0K0I
37: Label22
37: L0J0H
37: Initialize
37: HHtVHHt
37: FolderTreeView
37: EnvironmentDirectory
37: EnumCalendarInfoW
37: EndDoc
37: ElSVWP
37: EMenuError
37: EListError
37: EInvalidOperation
37: EInvalidGraphicOperation
37: EFCreateError
37: DDDDDDDF
37: CryptEncryptMessage
37: CryptDecryptMessage
37: Components
37: CTreeView
37: CStatusBar
37: CDirView
37: CDWordArray
37: Button4Click
37: BorderColor
37: AnsiChar
37: ActiveX
37: ADOConnection1
37: 98t2P
37: 0123456789abcdefABCDEF
36: x8BIM
36: wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwp
36: wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwp
36: wwwwwwwwwwwwwwwDwwwDwwwDwwwwwwwwwwwwww
36: wwwwwwwwwwwwttp
36: wwwwwwwwGtwwwwwwwwwwwwwwwwwGp
36: wwwwwwwwGDwwwwwDGwwDGwwDGwwwwwwwwwwwww
36: wwwwwwwGtwwwwwwwwwwwwwwwwwwwwwwwwwwwwp
36: wwwwwwwDDwwtGwwwwwDwwwDwwwGp
36: wwwwGG
36: wwwGtwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwp
36: wwwGG
36: wwwDDwwwwwwwwwwwwwwwwwwwwwGp
36: wwGtwwwwwtDwwwwwwDGwwDGwwDDDDDDDDwp
36: wwGDwwwwwttp
36: wwDGwwwwwtGwwwwwwDwwwDwwwwp
36: wtDwwwwwDGwwDGwwGp
36: wDGwwwwwGG
36: sysutils
36: ssFlat
36: normal
36: mmmNttt1hhh8eeelwww
36: memcpy
36: dSUVW
36: cmdOrg
36: blGlyphRight
36: alpha
